timestamp,fit_power_T @ 0x24000B18,power_res @ 0x24001018,fit_power_W @ 0x24000B1C
0.000000,-0.003406,2.851758,0.000000
0.005688,-0.003406,3.029435,0.000000
0.009604,0.000110,2.779145,0.000000
0.016104,0.000110,2.891346,0.000000
0.024819,-0.003516,2.958459,0.000000
0.028909,-0.003516,2.808553,0.000000
0.036467,-0.003516,2.997910,0.000000
0.041017,0.000110,2.868730,0.000000
0.046371,0.000110,2.695306,0.000000
0.054484,0.003790,2.926113,0.000000
0.058891,0.003790,2.761183,0.000000
0.073307,0.000220,2.761183,0.000000
0.077705,0.000220,2.761183,0.000000
0.084887,0.000110,2.761183,0.000000
0.090378,0.000110,2.761183,0.000000
0.097811,0.000110,2.761183,0.000000
0.105945,0.000110,2.761183,0.000000
0.111890,0.000110,2.761183,0.000000
0.119825,0.000220,2.761183,0.000000
0.133467,0.000220,2.938336,0.000000
0.140521,-0.003186,2.903624,0.000000
0.146334,-0.003186,2.894653,0.000000
0.150444,0.000330,2.872316,0.000000
0.157404,0.000330,2.947430,0.000000
0.163438,0.000220,2.800685,0.000000
0.174071,0.000220,2.764721,0.000000
0.178386,0.003790,2.954938,0.000000
0.185510,0.003790,2.722408,0.000000
0.196762,0.000110,2.773200,0.000000
0.204384,0.000110,2.894175,0.000000
0.211354,0.000110,2.949518,0.000000
0.216029,0.000110,2.774245,0.000000
0.222727,0.000110,2.858122,0.000000
0.230141,0.000110,2.808883,0.000000
0.235960,0.003680,2.846963,0.000000
0.243523,0.003680,2.941835,0.000000
0.247693,0.003680,2.943407,0.000000
0.252776,0.000110,2.860313,0.000000
0.256912,0.000110,3.144660,0.000000
0.261276,0.000110,3.091666,0.000000
0.266010,-0.003406,2.832440,0.000000
0.274685,-0.003406,2.999403,0.000000
0.279599,-0.003406,2.752382,0.000000
0.287079,-0.003406,2.995937,0.000000
0.292171,0.000220,3.017523,0.000000
0.296594,0.000220,2.951645,0.000000
0.300878,0.000220,2.812771,0.000000
0.313594,0.003680,2.823896,0.000000
0.318008,0.003680,2.826812,0.000000
0.325994,0.003680,2.918303,0.000000
0.335095,0.003680,2.872780,0.000000
0.342068,0.003680,2.786294,0.000000
0.346543,0.000110,2.986197,0.000000
0.356065,0.000110,2.908043,0.000000
0.360123,0.000110,2.936711,0.000000
0.364453,0.000110,2.936711,0.000000
0.374729,0.000110,2.936711,0.000000
0.379155,-0.003516,2.836549,0.000000
0.386419,0.000220,2.866765,0.000000
0.395436,0.000220,2.865558,0.000000
0.404601,0.000110,2.754447,0.000000
0.410363,0.000110,3.039806,0.000000
0.418879,0.003790,2.870284,0.000000
0.424082,0.003790,2.885843,0.000000
0.432912,0.000110,2.805130,0.000000
0.438569,0.000110,2.738282,0.000000
0.447800,0.003680,2.738282,0.000000
0.453383,0.003680,2.738282,0.000000
0.458719,0.000110,2.798846,0.000000
0.465109,0.000110,2.821678,0.000000
0.469697,0.000110,2.920043,0.000000
0.483422,0.003296,2.926901,0.000000
0.487634,0.000110,2.972041,0.000000
0.493283,0.000110,2.903205,0.000000
0.501168,0.000000,2.815325,0.000000
0.506253,0.000000,2.740831,0.000000
0.510386,0.000000,2.728804,0.000000
0.517501,-0.003406,2.728804,0.000000
0.525712,-0.003406,2.728804,0.000000
0.533638,0.000110,2.719851,0.000000
0.539062,0.000110,2.782881,0.000000
0.548700,0.000110,2.938580,0.000000
0.555321,0.000110,2.864890,0.000000
0.559597,0.000110,2.983363,0.000000
0.568844,0.000110,3.153284,0.000000
0.575015,-0.003406,2.922763,0.000000
0.583831,0.000110,3.078724,0.000000
0.594242,0.000110,2.924735,0.000000
0.598361,0.003680,2.826798,0.000000
0.604087,0.003680,2.796188,0.000000
0.614029,-0.003406,2.822423,0.000000
0.618032,-0.003406,2.884828,0.000000
0.624324,-0.003406,2.833503,0.000000
0.628474,0.000220,2.933874,0.000000
0.637381,0.000220,2.947817,0.000000
0.643427,0.000220,2.817488,0.000000
0.648593,0.000220,2.864946,0.000000
0.655271,0.003790,2.839567,0.000000
0.663173,0.003790,2.816583,0.000000
0.667339,0.003790,3.019711,0.000000
0.675658,0.003790,2.821564,0.000000
0.685171,0.003790,2.973909,0.000000
0.689583,0.003790,2.922678,0.000000
0.693963,0.003790,2.808535,0.000000
0.699406,0.003680,2.709246,0.000000
0.703490,0.003680,2.790364,0.000000
0.708737,0.003680,2.886399,0.000000
0.715701,-0.003406,2.915500,0.000000
0.720201,-0.003406,2.806928,0.000000
0.729398,-0.003406,2.927883,0.000000
0.736295,-0.003406,2.819021,0.000000
0.743254,-0.003406,3.026044,0.000000
0.748359,-0.003406,2.982278,0.000000
0.755173,-0.003296,3.049685,0.000000
0.760187,-0.003296,2.940711,0.000000
0.769479,0.003900,2.940711,0.000000
0.777235,0.003900,2.940711,0.000000
0.785020,-0.000110,2.940711,0.000000
0.792935,-0.000110,2.940711,0.000000
0.797730,-0.003406,2.940711,0.000000
0.802594,-0.003406,2.940711,0.000000
0.807768,-0.003406,2.887378,0.000000
0.814566,0.003680,2.969665,0.000000
0.820172,0.003680,2.958901,0.000000
0.827205,0.000110,2.951325,0.000000
0.832867,0.000110,3.007631,0.000000
0.837007,0.003680,2.884816,0.000000
